object_name,period_start,period_end,possible_impacts,cumulative_impact_probability,asteroid_velocity,asteroid_magnitude,asteroid_diameter_km,cumulative_palermo_scale,maximum_palermo_scale,maximum_torino_scale,eccentricity,semi_major_axis,perihelion_distance,inclination_angle_with_respect_to_x_y_ecliptic_plane,longitude_of_the_ascending_node,argument_of_perihelion,mean_anomaly,time_of_perihelion_passage,sidereal_orbital_period,mean_motion,aphelion_distance
2006 WP1,2017,2017,1,5.2e-9,17.77,28.3,0.007,-8.31,-8.31,0,0.607,1.71,0.671,5.9,234,98.2,22.1,2454008.477,815,0.442,2.74
2013 YB,2017,2046,23,7.6e-5,8.98,31.4,0.002,-6.6,-6.96,0,0.427,1.55,0.888,0.192,269,230,341,2456686.267,705,0.51,2.21
2008 US,2017,2062,30,1.6e-5,18.33,31.4,0.002,-6.48,-6.87,0,0.614,1.61,0.623,5.97,208,90.8,24,2454710.745,748,0.482,2.6
2010 VR139,2017,2076,24,2e-7,4.99,26.7,0.016,-6.83,-6.95,0,0.301,1.43,1,0.364,152,237,12.1,2455493.442,627,0.574,1.86
2015 ME131,2017,2096,85,2.3e-8,19.46,19.2,0.497,-3.85,-4.3,0,0.212,0.816,0.643,33.6,318,157,255,2460278.91,269,1.34,0.99
2010 XB73,2017,2110,55,2.8e-7,5.98,22.5,0.11,-5.03,-5.51,0,0.344,1.81,1.19,3.82,247,190,358,2455550.262,887,0.406,2.43
2005 TM173,2017,2111,123,9e-7,8.79,24.1,0.052,-5.41,-6.42,0,0.675,2.87,0.934,1.28,241,173,354,2453682.976,1780,0.202,4.81
2006 SF281,2017,2111,514,1.9e-6,4.49,26.2,0.02,-5.91,-7.58,0,0.264,1.34,0.985,3.03,9.85,31.2,341,2454038.842,565,0.637,1.69
2010 VP139,2017,2112,350,1.8e-5,2.04,28.5,0.007,-6.51,-7.54,0,0.307,1.2,0.835,2.69,48.9,290,41.6,2455458.693,483,0.746,1.57
2014 HR197,2017,2112,187,7.9e-8,17.02,26.9,0.014,-7.18,-7.97,0,0.593,1.61,0.654,3.62,31.3,278,330,2456833.034,746,0.483,2.56
2015 HV182,2017,2113,509,7.1e-7,7.78,21.7,0.153,-4.14,-5.45,0,0.28,1.4,1.01,0.679,155,255,157,2459936.04,608,0.592,1.8
